aug,img_size,model,class,precision,recall,f1,support
aug_light,299,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,32,efficientnet_b0,prickly_heat,0.8095238095238095,0.85,0.8292682926829268,
aug_light,40,efficientnet_b0,prickly_heat,0.8888888888888888,0.8,0.8421052631578947,
aug_light,48,efficientnet_b0,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,
aug_light,56,efficientnet_b0,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,
aug_light,64,efficientnet_b0,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,
aug_light,80,efficientnet_b0,prickly_heat,0.8695652173913043,1.0,0.9302325581395349,
aug_light,96,efficientnet_b0,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,112,efficientnet_b0,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,
aug_light,128,efficientnet_b0,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,160,efficientnet_b0,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,192,efficientnet_b0,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,224,efficientnet_b0,prickly_heat,1.0,0.9,0.9473684210526315,
aug_light,256,efficientnet_b0,prickly_heat,1.0,1.0,1.0,
aug_light,299,efficientnet_b0,prickly_heat,1.0,1.0,1.0,
aug_light,32,efficientnet_b0,sarcoptes_scabiei,0.6153846153846154,0.4,0.48484848484848486,
aug_light,40,efficientnet_b0,sarcoptes_scabiei,0.6111111111111112,0.55,0.5789473684210527,
aug_light,48,efficientnet_b0,sarcoptes_scabiei,0.6666666666666666,0.7,0.6829268292682927,
aug_light,56,efficientnet_b0,sarcoptes_scabiei,0.625,0.5,0.5555555555555556,
aug_light,64,efficientnet_b0,sarcoptes_scabiei,0.7857142857142857,0.55,0.6470588235294118,
aug_light,80,efficientnet_b0,sarcoptes_scabiei,0.875,0.7,0.7777777777777778,
aug_light,96,efficientnet_b0,sarcoptes_scabiei,0.8,0.6,0.6857142857142857,
aug_light,112,efficientnet_b0,sarcoptes_scabiei,0.8823529411764706,0.75,0.8108108108108109,
aug_light,128,efficientnet_b0,sarcoptes_scabiei,0.9375,0.75,0.8333333333333334,
