condition,img_size,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_test,inference_ms_per_image,params,run_dir,ckpt_ft
aug_light,112,efficientnet_b0,0.7916666666666666,0.7968904733610617,0.7916666666666666,0.7923982115252975,0.7968904733610616,0.7916666666666666,0.7923982115252975,120.0,,,v2_outputs\aug_light\px112\efficientnet_b0,v2_outputs\aug_light\px112\efficientnet_b0\ckpt_ft.keras
aug_light,112,inception_v3,0.7,0.7406149406149406,0.6999999999999998,0.698682837845286,0.7406149406149406,0.7,0.6986828378452861,120.0,,,v2_outputs\aug_light\px112\inception_v3,v2_outputs\aug_light\px112\inception_v3\ckpt_ft.keras
aug_light,112,mobilenet_v2,0.6666666666666666,0.6646245059288538,0.6666666666666666,0.6472786185964481,0.6646245059288538,0.6666666666666666,0.6472786185964481,120.0,13.078690000111237,2265670.0,v2_outputs\aug_light\px112\mobilenet_v2,v2_outputs\aug_light\px112\mobilenet_v2\ckpt_ft.keras
aug_light,112,resnet50,0.825,0.8564814814814815,0.8250000000000001,0.8262117478984637,0.8564814814814815,0.825,0.8262117478984637,120.0,,,v2_outputs\aug_light\px112\resnet50,v2_outputs\aug_light\px112\resnet50\ckpt_ft.keras
aug_light,128,densenet121,0.7916666666666666,0.7977045067038673,0.7916666666666666,0.7911624248833551,0.7977045067038673,0.7916666666666666,0.7911624248833552,120.0,,,v2_outputs\aug_light\px128\densenet121,v2_outputs\aug_light\px128\densenet121\ckpt_ft.keras
aug_light,128,efficientnet_b0,0.825,0.8404143323996265,0.8249999999999998,0.8283808198442345,0.8404143323996266,0.825,0.8283808198442344,120.0,,,v2_outputs\aug_light\px128\efficientnet_b0,v2_outputs\aug_light\px128\efficientnet_b0\ckpt_ft.keras
aug_light,128,inception_v3,0.6916666666666667,0.7562599681020733,0.6916666666666668,0.6991750092695588,0.7562599681020733,0.6916666666666667,0.6991750092695587,120.0,,,v2_outputs\aug_light\px128\inception_v3,v2_outputs\aug_light\px128\inception_v3\ckpt_ft.keras
aug_light,128,mobilenet_v2,0.7083333333333334,0.7375226625226624,0.7083333333333334,0.7105492331138191,0.7375226625226626,0.7083333333333334,0.7105492331138191,120.0,10.101897500377769,2265670.0,v2_outputs\aug_light\px128\mobilenet_v2,v2_outputs\aug_light\px128\mobilenet_v2\ckpt_ft.keras
aug_light,128,resnet50,0.8333333333333334,0.8638039379974863,0.8333333333333334,0.8315465580171463,0.8638039379974864,0.8333333333333334,0.8315465580171463,120.0,,,v2_outputs\aug_light\px128\resnet50,v2_outputs\aug_light\px128\resnet50\ckpt_ft.keras
aug_light,160,densenet121,0.825,0.842929292929293,0.8250000000000001,0.8239898989898989,0.8429292929292929,0.825,0.823989898989899,120.0,,,v2_outputs\aug_light\px160\densenet121,v2_outputs\aug_light\px160\densenet121\ckpt_ft.keras
aug_light,160,efficientnet_b0,0.8333333333333334,0.856294032764621,0.8333333333333334,0.8344872447103895,0.856294032764621,0.8333333333333334,0.8344872447103894,120.0,,,v2_outputs\aug_light\px160\efficientnet_b0,v2_outputs\aug_light\px160\efficientnet_b0\ckpt_ft.keras
aug_light,160,inception_v3,0.825,0.8440413752913752,0.8250000000000001,0.8289049919484701,0.8440413752913754,0.825,0.8289049919484701,120.0,,,v2_outputs\aug_light\px160\inception_v3,v2_outputs\aug_light\px160\inception_v3\ckpt_ft.keras
aug_light,160,mobilenet_v2,0.8,0.8311187916026626,0.7999999999999999,0.7989289414952973,0.8311187916026626,0.8,0.7989289414952974,120.0,10.818650833486268,2265670.0,v2_outputs\aug_light\px160\mobilenet_v2,v2_outputs\aug_light\px160\mobilenet_v2\ckpt_ft.keras
aug_light,160,resnet50,0.8166666666666667,0.8496392496392495,0.8166666666666665,0.8161730545876886,0.8496392496392496,0.8166666666666667,0.8161730545876887,120.0,,,v2_outputs\aug_light\px160\resnet50,v2_outputs\aug_light\px160\resnet50\ckpt_ft.keras
aug_light,192,densenet121,0.8666666666666667,0.886812619784756,0.8666666666666667,0.8702837452837452,0.886812619784756,0.8666666666666667,0.8702837452837452,120.0,,,v2_outputs\aug_light\px192\densenet121,v2_outputs\aug_light\px192\densenet121\ckpt_ft.keras
aug_light,192,efficientnet_b0,0.8583333333333333,0.8669099832915622,0.8583333333333334,0.8590403724550066,0.8669099832915622,0.8583333333333333,0.8590403724550068,120.0,,,v2_outputs\aug_light\px192\efficientnet_b0,v2_outputs\aug_light\px192\efficientnet_b0\ckpt_ft.keras
aug_light,192,inception_v3,0.8083333333333333,0.8480842911877394,0.8083333333333332,0.8118274582560296,0.8480842911877394,0.8083333333333333,0.8118274582560296,120.0,,,v2_outputs\aug_light\px192\inception_v3,v2_outputs\aug_light\px192\inception_v3\ckpt_ft.keras
aug_light,192,mobilenet_v2,0.7583333333333333,0.8080017205017206,0.7583333333333333,0.7519568243476155,0.8080017205017204,0.7583333333333333,0.7519568243476157,120.0,12.625609167541066,2265670.0,v2_outputs\aug_light\px192\mobilenet_v2,v2_outputs\aug_light\px192\mobilenet_v2\ckpt_ft.keras
aug_light,192,resnet50,0.8666666666666667,0.8840723487462618,0.8666666666666667,0.8688172490185488,0.8840723487462617,0.8666666666666667,0.868817249018549,120.0,,,v2_outputs\aug_light\px192\resnet50,v2_outputs\aug_light\px192\resnet50\ckpt_ft.keras
aug_light,224,densenet121,0.85,0.8793586400077272,0.85,0.8559628896140907,0.8793586400077273,0.85,0.8559628896140907,120.0,,,v2_outputs\aug_light\px224\densenet121,v2_outputs\aug_light\px224\densenet121\ckpt_ft.keras
aug_light,224,efficientnet_b0,0.825,0.8451388888888888,0.8250000000000001,0.8269590643274854,0.8451388888888888,0.825,0.8269590643274856,120.0,,,v2_outputs\aug_light\px224\efficientnet_b0,v2_outputs\aug_light\px224\efficientnet_b0\ckpt_ft.keras
aug_light,224,inception_v3,0.9083333333333333,0.9213868003341688,0.9083333333333333,0.9077726367200052,0.9213868003341688,0.9083333333333333,0.9077726367200053,120.0,,,v2_outputs\aug_light\px224\inception_v3,v2_outputs\aug_light\px224\inception_v3\ckpt_ft.keras
aug_light,224,mobilenet_v2,0.7416666666666667,0.7954278933407789,0.7416666666666667,0.7502091310145809,0.795427893340779,0.7416666666666667,0.7502091310145808,120.0,14.497850001013527,2265670.0,v2_outputs\aug_light\px224\mobilenet_v2,v2_outputs\aug_light\px224\mobilenet_v2\ckpt_ft.keras
aug_light,224,resnet50,0.775,0.8291028097062579,0.775,0.7725591418600537,0.8291028097062579,0.775,0.7725591418600537,120.0,,,v2_outputs\aug_light\px224\resnet50,v2_outputs\aug_light\px224\resnet50\ckpt_ft.keras
aug_light,256,densenet121,0.8333333333333334,0.8663817663817664,0.8333333333333334,0.8350352271515629,0.8663817663817663,0.8333333333333334,0.8350352271515629,120.0,,,v2_outputs\aug_light\px256\densenet121,v2_outputs\aug_light\px256\densenet121\ckpt_ft.keras
aug_light,256,efficientnet_b0,0.8916666666666667,0.9090601757944556,0.8916666666666666,0.8928111785254643,0.9090601757944557,0.8916666666666667,0.8928111785254643,120.0,,,v2_outputs\aug_light\px256\efficientnet_b0,v2_outputs\aug_light\px256\efficientnet_b0\ckpt_ft.keras
aug_light,256,inception_v3,0.8333333333333334,0.8471898471898472,0.8333333333333334,0.8331250120185373,0.8471898471898472,0.8333333333333334,0.8331250120185374,120.0,,,v2_outputs\aug_light\px256\inception_v3,v2_outputs\aug_light\px256\inception_v3\ckpt_ft.keras
aug_light,256,mobilenet_v2,0.8,0.8287280701754387,0.7999999999999999,0.8002585649644475,0.8287280701754386,0.8,0.8002585649644474,120.0,17.225539998617023,2265670.0,v2_outputs\aug_light\px256\mobilenet_v2,v2_outputs\aug_light\px256\mobilenet_v2\ckpt_ft.keras
aug_light,256,resnet50,0.875,0.8961840628507295,0.875,0.8771645506050354,0.8961840628507294,0.875,0.8771645506050354,120.0,,,v2_outputs\aug_light\px256\resnet50,v2_outputs\aug_light\px256\resnet50\ckpt_ft.keras
aug_light,299,densenet121,0.8666666666666667,0.8796478375425744,0.8666666666666667,0.8661701660298129,0.8796478375425744,0.8666666666666667,0.866170166029813,120.0,,,v2_outputs\aug_light\px299\densenet121,v2_outputs\aug_light\px299\densenet121\ckpt_ft.keras
aug_light,299,efficientnet_b0,0.9083333333333333,0.9197530864197531,0.9083333333333332,0.9090322125036572,0.9197530864197531,0.9083333333333333,0.9090322125036572,120.0,,,v2_outputs\aug_light\px299\efficientnet_b0,v2_outputs\aug_light\px299\efficientnet_b0\ckpt_ft.keras
aug_light,299,inception_v3,0.875,0.892005772005772,0.875,0.8765260033552716,0.892005772005772,0.875,0.8765260033552716,120.0,,,v2_outputs\aug_light\px299\inception_v3,v2_outputs\aug_light\px299\inception_v3\ckpt_ft.keras
aug_light,299,mobilenet_v2,0.7416666666666667,0.7822337305095926,0.7416666666666667,0.7456055941939203,0.7822337305095926,0.7416666666666667,0.7456055941939204,120.0,22.080009166772168,2265670.0,v2_outputs\aug_light\px299\mobilenet_v2,v2_outputs\aug_light\px299\mobilenet_v2\ckpt_ft.keras
