InputSize,Model,Aug,Class,precision,recall,f1,support
128,mobilenet_v2,aug_light,atopic_dermatitis,0.6923076923076923,0.9,0.782608695652174,20
128,mobilenet_v2,noaug,atopic_dermatitis,0.7407407407407407,1.0,0.851063829787234,20
160,mobilenet_v2,aug_light,atopic_dermatitis,0.6129032258064516,0.95,0.7450980392156863,20
160,mobilenet_v2,noaug,atopic_dermatitis,0.76,0.95,0.8444444444444444,20
192,mobilenet_v2,aug_light,atopic_dermatitis,0.625,1.0,0.7692307692307693,20
192,mobilenet_v2,noaug,atopic_dermatitis,0.7692307692307693,1.0,0.8695652173913043,20
224,mobilenet_v2,aug_light,atopic_dermatitis,0.5769230769230769,0.75,0.6521739130434783,20
224,mobilenet_v2,noaug,atopic_dermatitis,0.782608695652174,0.9,0.8372093023255814,20
256,mobilenet_v2,aug_light,atopic_dermatitis,0.625,1.0,0.7692307692307693,20
256,mobilenet_v2,noaug,atopic_dermatitis,0.6896551724137931,1.0,0.8163265306122449,20
299,mobilenet_v2,aug_light,atopic_dermatitis,0.6923076923076923,0.9,0.782608695652174,20
299,mobilenet_v2,noaug,atopic_dermatitis,0.7727272727272727,0.85,0.8095238095238095,20
32,resnet50,aug_light,atopic_dermatitis,0.6956521739130435,0.8,0.7441860465116279,20
32,resnet50,noaug,atopic_dermatitis,0.6521739130434783,0.75,0.6976744186046512,20
40,resnet50,aug_light,atopic_dermatitis,0.6428571428571429,0.9,0.75,20
40,resnet50,noaug,atopic_dermatitis,0.6538461538461539,0.85,0.7391304347826086,20
48,resnet50,aug_light,atopic_dermatitis,0.7619047619047619,0.8,0.7804878048780488,20
48,resnet50,noaug,atopic_dermatitis,0.7307692307692307,0.95,0.8260869565217391,20
56,resnet50,aug_light,atopic_dermatitis,0.7727272727272727,0.85,0.8095238095238095,20
56,resnet50,noaug,atopic_dermatitis,0.6666666666666666,0.9,0.7659574468085106,20
64,resnet50,aug_light,atopic_dermatitis,0.7647058823529411,0.65,0.7027027027027027,20
64,resnet50,noaug,atopic_dermatitis,0.7272727272727273,0.8,0.7619047619047619,20
80,resnet50,aug_light,atopic_dermatitis,0.9285714285714286,0.65,0.7647058823529411,20
80,resnet50,noaug,atopic_dermatitis,0.7777777777777778,0.7,0.7368421052631579,20
96,resnet50,aug_light,atopic_dermatitis,0.7777777777777778,0.7,0.7368421052631579,20
96,resnet50,noaug,atopic_dermatitis,0.7619047619047619,0.8,0.7804878048780488,20
112,resnet50,aug_light,atopic_dermatitis,0.8095238095238095,0.85,0.8292682926829268,20
112,resnet50,noaug,atopic_dermatitis,0.72,0.9,0.8,20
128,resnet50,aug_light,atopic_dermatitis,0.6451612903225806,1.0,0.7843137254901961,20
128,resnet50,noaug,atopic_dermatitis,0.72,0.9,0.8,20
160,resnet50,aug_light,atopic_dermatitis,0.6666666666666666,1.0,0.8,20
160,resnet50,noaug,atopic_dermatitis,0.75,0.9,0.8181818181818182,20
192,resnet50,aug_light,atopic_dermatitis,0.782608695652174,0.9,0.8372093023255814,20
192,resnet50,noaug,atopic_dermatitis,0.76,0.95,0.8444444444444444,20
224,resnet50,aug_light,atopic_dermatitis,0.6551724137931034,0.95,0.7755102040816326,20
224,resnet50,noaug,atopic_dermatitis,0.7037037037037037,0.95,0.8085106382978723,20
256,resnet50,aug_light,atopic_dermatitis,0.7407407407407407,1.0,0.851063829787234,20
256,resnet50,noaug,atopic_dermatitis,0.76,0.95,0.8444444444444444,20
299,resnet50,aug_light,atopic_dermatitis,0.8333333333333334,0.75,0.7894736842105263,20
299,resnet50,noaug,atopic_dermatitis,0.782608695652174,0.9,0.8372093023255814,20
32,densenet121,aug_light,impetigo,0.95,0.95,0.95,20
32,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
40,densenet121,aug_light,impetigo,0.95,0.95,0.95,20
40,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
48,densenet121,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
48,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
56,densenet121,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
56,densenet121,noaug,impetigo,0.8695652173913043,1.0,0.9302325581395349,20
64,densenet121,aug_light,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
64,densenet121,noaug,impetigo,0.8333333333333334,1.0,0.9090909090909091,20
80,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
80,densenet121,noaug,impetigo,0.9090909090909091,1.0,0.9523809523809523,20
96,densenet121,aug_light,impetigo,1.0,1.0,1.0,20
